kdekalbavenuesouthelliottplacefortgreeneplaces,S-333181
q116street85avenuebabbagestreetw,S-133265
q71avenueloubetstreetmansestreetw,S-169059
meast52streetlexingtonavenue3avenuen,P-308559
mstnicholasavenuewest150streetwest149streetw,S-028131
qleffertsboulevard109avenue111avenuew,S-338645
qwhitneyavenuedenmanstreetelbertsonstreetw,S-253782
mwesthoustonstreet6avenuevarickstreetn,S-295529
k16avenue67street68streetw,S-953353
mlafayettestreetjerseystreeteasthoustonstreete,S-320867
bwaltonavenueelliotplacemarcyplacew,S-993645
beast161streettrinityavenuetintonavenuen,S-058015
q131streetsutteravenue131avenuew,S-236367
q219street88avenuehillsideavenuee,S-127674
kmenahanstreetwilsonavenueknickerbockeravenuen,S-957223
bwest230streetarlingtonavenuenetherlandavenues,S-215672
krockawayparkwayseaviewavenueskidmoreavenuew,S-118338
bwaltonavenueelliotplacemarcyplacee,S-993665
sclairecourtdeadendhowardavenuee,S-838216
q71streetdeadendeliotavenuee,S-194070
beast233streetdyreavenuesecoravenuen,S-324445
bunionavenueeast166streeteast167streete,S-057619
koceanparkway*esrwebsteravenue18avenuee,S-144649
kmadisonstreetbedfordavenuenostrandavenues,S-333177
q65avenue162street161streets,S-978278
q183streethillsideavenue89avenuee,S-171422
kconselyeastreetmaspethavenuewoodpointroads,S-078978
sunionavenueforestavenuecontinentalplacee,S-272101
bfentonavenuehammersleyavenueknappstreetw,S-130287
kconselyeastreetmaspethavenuewoodpointroadn,S-078156
kmadisonstreetbedfordavenuenostrandavenuen,S-323380
q65avenue162street161streetn,S-978301
q183streethillsideavenue89avenuew,S-171423
m5avenueeast139streetharlemriverdrivee,S-273443
q101streetdeadend37avenuee,S-269539
q108street107avenuelibertyavenuew,P-318429
kjacksonstreethumboltstreetgrahamavenuen,S-942704
k6avenuecarrollstreetgarfieldplacew,S-197035
k14avenue76street77streetw,S-138469
qnorthconduitavenue128street127streetn,S-910225
bwest246streetwaldoavenuetibbettavenues,S-218629
q97avenue98street99streets,S-055866
q108street107avenuelibertyavenuee,P-318434
swatchogueroadwatchogueroadbradleyavenues,P-231775
ksheepsheadbayroadavenuewavenuexw,S-160836
mmorningsideavenuewest121streetwest122streete,S-281616
kjacksonstreethumboltstreetgrahamavenues,S-075276
qmainstreetcharterroadunionturnpikee,S-917618
keast5streetavenuepavenueow,S-993106
