P-310943,"['8:30', '9', 'AM', 'Tuesday, Thursday & Saturday']"
P-296309,"['8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-296308,"['8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-296307,"['8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-296306,"['8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-296305,"['8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-296304,"['8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-316452,"['6:30', '7', 'AM', 'Tuesday, Thursday & Saturday']"
P-335465,"['8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-335360,"['7:30', '8', 'AM', 'Tuesday, Thursday & Saturday']"
P-302407,"['7', '7:30', 'AM', 'Tuesday, Thursday & Saturday']"
S-210625,"['9:30', '11', 'AM', 'Tuesday & Friday']"
P-302404,"['11', '12:30', 'PM', 'Tuesday, Thursday & Saturday']"
P-258475,"['11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
P-302405,"['11', '12:30', 'PM', 'Tuesday, Thursday & Saturday']"
S-996268,"['11', '12:30', 'PM', 'Tuesday & Friday']"
S-276171,"['9:30', '11', 'AM', 'Tuesday, Thursday & Saturday']"
S-996265,"['11', '12:30', 'PM', 'Tuesday & Friday']"
S-996266,"['11', '12:30', 'PM', 'Tuesday & Friday']"
S-214538,"['9', '10:30', 'AM', 'Tuesday, Thursday & Saturday']"
S-996260,"['12', '3', 'AM', 'Tuesday & Friday']"
S-996261,"['12', '3', 'AM', 'Tuesday & Friday']"
S-996263,"['12', '3', 'AM', 'Tuesday & Friday']"
S-096267,"['8', '9:30', 'AM', 'Tuesday & Friday']"
P-302400,"['7:30', '8', 'AM', 'Tuesday, Thursday & Saturday']"
P-302401,"['7:30', '8', 'AM', 'Tuesday, Thursday & Saturday']"
S-096268,"['8', '9:30', 'AM', 'Tuesday & Friday']"
S-289464,"['9', '10:30', 'AM', 'Tuesday & Friday']"
P-335362,"['7:30', '8', 'AM', 'Tuesday, Thursday & Saturday']"
P-300831,"['8:30', '9', 'AM', 'Tuesday, Thursday & Saturday']"
P-300830,"['3', '6', 'AM', 'Tuesday, Thursday & Saturday']"
S-994380,"['9:30', '11', 'AM', 'Tuesday, Thursday & Saturday']"
S-970439,"['11:30', '1', 'PM', 'Tuesday & Friday']"
S-970438,"['8:30', '10', 'AM', 'Tuesday & Friday']"
P-298688,"['8', '9:30', 'AM', 'Tuesday, Thursday & Saturday']"
S-129739,"['11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
S-129734,"['11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
S-129735,"['11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
S-129736,"['11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
S-129737,"['11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
S-129730,"['11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
S-129731,"['11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
S-275383,"['9:30', '11', 'AM', 'Tuesday & Friday']"
S-129733,"['11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
S-994824,"['8', '9:30', 'AM', 'Tuesday, Thursday & Saturday']"
S-331587,"['9:30', '11', 'AM', 'Tuesday & Friday']"
S-971199,"['8:30', '10', 'AM', 'Tuesday & Friday']"
S-994825,"['8', '9:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-310947,"['8:30', '9', 'AM', 'Tuesday, Thursday & Saturday']"
P-294194,"['7:30', '8', 'AM', 'Tuesday, Thursday & Saturday']"
S-994826,"['8', '9:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-294196,"['7:30', '8', 'AM', 'Tuesday, Thursday & Saturday']"
P-294197,"['7:30', '8', 'AM', 'Tuesday, Thursday & Saturday']"
S-232078,"['11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
P-332598,"['MONDAY THURSDAY 8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
S-192267,"['9:30', '11', 'AM', 'Tuesday, Thursday & Saturday']"
P-332593,"['MONDAY TUESDAY THURSDAY FRIDAY 8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-332592,"['TUESDAY FRIDAY 11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
P-332591,"['MONDAY TUESDAY THURSDAY FRIDAY 8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-332590,"['MONDAY THURSDAY 8:30', '10', 'AM', 'Tuesday, Thursday & Saturday']"
P-332597,"['TUESDAY FRIDAY 11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
P-332596,"['MONDAY THURSDAY 8:30', '10', 'AM', 'Tuesday, Thursday & Saturday']"
P-332595,"['MONDAY TUESDAY THURSDAY FRIDAY 8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-332594,"['MONDAY TUESDAY THURSDAY FRIDAY 8', '8:30', 'AM', 'Tuesday, Thursday & Saturday']"
P-322882,"['11:30', '1', 'PM', 'Tuesday & Friday']"
S-278062,"['9', '10:30', 'AM', 'Tuesday & Friday']"
S-215664,"['9:30', '11', 'AM', 'Tuesday, Thursday & Saturday']"
S-215665,"['9:30', '11', 'AM', 'Tuesday, Thursday & Saturday']"
P-322886,"['11:30', '1', 'PM', 'Tuesday, Thursday & Saturday']"
S-215667,"['9:30', '11', 'AM', 'Tuesday, Thursday & Saturday']"
P-322888,"['8:30', '10', 'AM', 'Tuesday & Friday']"
S-189807,"['9', '10:30', 'AM', 'Tuesday & Friday']"
