MARTHA AVENUE,|['EAST  240 STREET', 'EAST  241 STREET']|
BKLYN QNS EXPRESSWAY WEST *W SR,|['49 STREET', '25 AVENUE']|
STERLING PLACE,|['CLASSON AVENUE', 'WASHINGTON AVENUE']|
SAINT JUDE PLACE,|['SEAVIEW AVENUE', 'EAST   95 STREET']|
CARPENTER AVENUE       *W,|['JAMAICA AVENUE', 'CARPENTER AVENUE']|
KENNELLWORTH PLACE,|['AMPERE AVENUE', 'GRISWOLD AVENUE']|
PONTIAC STREET,|['RIEGELMANN STREET', 'FOREST AVENUE']|
DONGAN STREET,|['DEGROOT PLACE', 'CASTLETON AVENUE']|
GRACIE SQUARE,|['EAST END AVENUE', 'DEAD END']|
COLLEGE OF STATEN ISLAND,|['COLLEGE OF SI', 'VICTORY BOULEVARD']|
WEST MOSHOLU PARKWAY NORTH,|['KNOX PLACE', 'GATES PLACE']|
DOE PLACE,|['BURGHER AVENUE', 'DEAD END']|
BEACH   55 STREET,|['DEAD END', 'EDGEMERE AVENUE']|
ARNPRIOR STREET,|['FOREST AVENUE', 'RIEGELMANN STREET']|
PARKSIDE AVENUE,|['FLATBUSH AVENUE', 'PARKSIDE COURT']|
33 ROAD,|['21 STREET', '23 STREET']|
GREENWOOD AVENUE,|['EAST    2 STREET', 'MCDONALD AVENUE']|
54 AVENUE,|['48 STREET', '50 STREET']|
BORDEN AVENUE          *N ROAD,|['31 STREET', '30 PLACE']|
7 AVENUE            *E RDWAY,|['78 STREET', 'BAY RIDGE PARKWAY']|
CHISUM PLACE,|['WEST  142 STREET', 'WEST  141 STREET']|
WEST   19 STREET,|['11 AVENUE', '10 AVENUE']|
WEST  128 STREET,|['ST NICHOLAS AVENUE', 'FRED DOUGLASS BOULEVARD']|
CHRISTOPHER AVENUE     *W,|['PITKIN AVENUE', 'BELMONT AVENUE']|
SOUTH ST AUSTINS PLACE,|['DAVIS AVENUE', 'ST AUSTINS PLACE']|
OCEANIA STREET,|['45 ROAD', '45 DRIVE']|
HAVEN ESPLANADE        *E RDWAY,|['SILVER LAKE ROAD', 'CASTLETON AVENUE']|
EAST   53 STREET,|['1 AVENUE', '2 AVENUE']|
KANE PLACE,|['ATLANTIC AVENUE', 'HERKIMER STREET']|
FOWLER AVENUE,|['131 STREET', 'COLLEGE POINT BOULEVARD']|
KEW FOREST LANE,|['78 AVENUE', '77 AVENUE']|
26 STREET,|['HOYT AVENUE SOUTH', 'HOYT AVENUE NORTH']|
REEVE PLACE,|['PROSPECT PARK SOUTHWEST', 'PROSPECT AVENUE']|
GOVERNOR ROAD,|['MANOR ROAD', 'BEECHWOOD PLACE']|
JOAN PLACE,|['MANOR ROAD', 'SOUTH GREENLEAF AVENUE']|
WELLINGTON COURT,|['DEAD END', 'EAST   17 STREET']|
SURREY PLACE,|['KILDARE ROAD', '80 DRIVE']|
BROWN AVENUE,|['AMBOY ROAD', 'LOCUST PLACE']|
MORGAN AVENUE,|['NASSAU AVENUE', 'NORMAN AVENUE']|
EAST  180 STREET,|['PARK AVENUE', 'WASHINGTON AVENUE']|
EAST   14 ROAD,|['DEAD END', 'CROSS BAY BOULEVARD']|
WILLMOHR STREET,|['EAST   95 STREET', 'EAST   96 STREET']|
CALDWELL AVENUE,|['70 STREET', '71 STREET']|
NOLAN AVENUE,|['AMBOY ROAD', 'GIFFORDS GLEN']|
220 STREET,|['64 AVENUE', 'HORACE HARDING EXPWY   *S SR']|
COLFAX AVENUE,|['CLAWSON AVENUE', 'EDISON STREET']|
TACOMA STREET,|['WEST FINGERBOARD ROAD', 'PROVIDENCE STREET']|
GRETA PLACE,|['HOWARD AVENUE', 'DUNCAN ROAD']|
SAINT JAMES PLACE,|['NEW CHAMBERS STREET', 'PEARL STREET']|
135 STREET,|['82 AVENUE', 'HOOVER AVENUE']|
SELWYN AVENUE,|['MT EDEN PARKWAY        *N', 'MT EDEN PARKWAY        *S']|
HORACE HARDING EXPRESSWAY SOUTH,|['224 STREET', 'CLOVERDALE BOULEVARD']|
LEWIS AVENUE           *SRV SLIP,|['LEWIS AVENUE', 'BROADWAY']|
MARINE STREET          *W LEG,|['CITY ISLAND AVENUE', 'DEAD END']|
BAY   37 STREET,|['86 STREET', 'BENSON AVENUE']|
WEST  155 STREET,|['RIVERSIDE DRIVE', 'BROADWAY']|
LATIMER PLACE,|['137 STREET', 'LINDEN PLACE']|
GOWER STREET,|['HAROLD STREET', 'DEAD END']|
HOWARD ALLEY,|['MAIN STREET', 'DEAD END']|
ESSEX STREET,|['CANAL STREET', 'EAST BROADWAY']|
THRG NCK EXPWY ET EB,|['CHAFFEE AVENUE', 'PRENTISS AVENUE']|
LANCASTER AVENUE,|['EAST    7 STREET', 'CONEY ISLAND AVENUE']|
26 AVENUE            *W,|['2 STREET', 'DEAD END']|
COLUMBIA AVENUE,|['DEAD END', 'CHICAGO AVENUE']|
26 AVENUE            *E,|['DEAD END', '2 STREET']|
WATERBURY AVENUE,|['SEGUINE AVENUE', 'BAYVIEW AVENUE']|
B  141 STREET,|['CRONSTON AVENUE', 'BEACH CHANNEL DRIVE']|
BEACH   78 STREET,|['SHOREFRONT PARKWAY', 'ROCKAWAY BEACH BOULEVARD']|
EAST  113 STREET       *E LEG,|['2 AVENUE', 'DEAD END']|
VERNON BOULEVARD,|['40 AVENUE', '38 AVENUE']|
REDDING STREET,|['DESARC ROAD', 'PITKIN AVENUE']|
EAST  155 STREET,|['TINTON AVENUE', 'UNION AVENUE']|
VEITH PLACE,|['CORNELIA AVENUE', 'DEAD END']|
PORTSMOUTH AVENUE,|['BUTTERWORTH AVENUE', 'OCEAN TERRACE']|
PARK AVENUE SOUTH,|['EAST   22 STREET', 'EAST   23 STREET']|
LENZIE STREET,|['HOLDRIDGE AVENUE', 'DEAD END']|
OLIVE STREET,|['ORIENT AVENUE', 'MASPETH AVENUE']|
PETERS PLACE,|['EAST  233 STREET', 'EAST  234 STREET']|
